194,96,252,111
324,172,411,182
21,179,57,199
158,137,281,146
151,173,187,182
151,190,223,200
324,80,396,90
151,118,288,128
64,24,101,44
324,182,418,190
324,53,418,62
324,103,425,113
324,161,404,169
86,64,108,73
324,152,396,160
158,45,288,67
151,23,238,33
324,124,389,135
158,67,281,85
317,32,418,42
317,62,411,71
245,190,288,199
317,141,382,152
187,200,223,205
317,116,418,126
317,92,425,102
180,157,259,170
317,191,368,200
317,25,404,36
317,133,404,142
317,72,418,80
317,41,418,51
