450,379,555,399
450,337,676,367
173,344,416,366
450,117,659,145
659,378,780,397
173,126,416,175
450,260,815,289
815,141,1075,182
208,239,381,279
884,380,1075,398
659,411,815,434
450,55,728,79
104,69,138,89
138,408,225,436
173,310,815,340
208,91,381,110
971,419,1057,436
433,394,884,413
919,181,1075,207
173,368,398,387
225,31,364,49
433,147,745,170
242,49,346,63
86,369,138,388
225,64,364,81
104,173,572,227
433,219,797,242
797,200,919,222
433,81,815,106
433,286,815,313
312,411,624,433
433,30,745,54
