55,280,202,300
532,831,679,863
55,599,312,617
55,213,367,267
55,639,643,657
349,742,496,759
349,618,643,634
55,323,312,346
36,494,238,519
293,99,624,131
36,831,238,848
36,804,238,823
55,303,275,320
36,514,238,536
532,13,624,29
36,713,422,729
36,144,514,203
55,12,146,29
36,786,146,801
36,675,312,692
36,564,643,579
36,691,643,713
36,585,202,600
36,765,293,781
36,623,165,639
36,658,312,672
293,77,569,103
36,745,183,759
330,494,643,516
514,4,661,21
36,538,496,561
330,519,643,538
330,583,643,600
36,858,110,875
36,49,532,77
330,669,624,685
330,601,643,620
