144,195,183,210
144,216,235,227
144,108,248,117
157,70,209,77
248,284,314,293
144,90,274,103
144,37,248,52
235,115,274,121
144,81,248,88
170,157,248,164
26,46,117,134
183,244,314,254
392,371,445,428
144,57,261,66
301,468,353,478
379,87,405,101
144,225,274,239
183,410,340,419
209,7,274,16
183,500,209,506
144,365,222,374
183,513,235,522
13,37,65,52
209,559,288,567
130,147,274,156
196,398,353,408
261,454,353,465
130,135,248,142
209,439,353,454
52,381,117,425
130,266,235,275
130,275,301,283
170,424,327,433
130,289,248,299
130,172,183,183
130,119,235,129
