752,350,902,384
526,427,626,457
300,371,426,392
526,680,626,704
752,428,877,462
75,126,275,150
526,556,676,576
75,570,275,592
752,526,852,556
752,559,902,577
752,677,852,701
526,587,651,604
75,696,175,714
752,587,877,604
526,449,626,469
150,623,275,642
752,451,852,469
75,389,300,407
752,313,877,330
526,385,927,407
75,50,225,76
551,454,626,468
75,314,150,331
75,972,225,1005
125,160,275,182
50,681,275,703
50,421,300,453
50,489,275,505
50,500,300,523
50,659,275,676
50,448,275,467
275,313,651,332
50,534,300,551
50,358,150,378
50,398,376,426
275,347,676,387
50,633,150,651
576,714,701,743
50,327,476,350
