20,455,226,470
20,604,174,615
20,382,72,393
20,394,174,404
20,465,102,475
61,412,123,422
20,251,216,274
20,432,267,443
20,614,123,625
20,520,216,532
20,221,257,251
20,213,164,229
20,420,236,430
20,534,133,547
20,440,113,451
20,594,164,603
30,346,267,360
20,493,257,513
20,572,236,587
92,470,185,480
20,503,123,513
20,541,246,554
20,275,174,296
20,511,174,522
20,563,226,574
20,585,113,594
20,553,174,564
20,479,246,491
20,403,102,414
51,360,246,373
226,593,277,602
72,48,216,61
20,310,185,330
164,613,267,623
216,414,257,424
30,472,72,482
205,439,257,449
41,131,205,151
