510,578,592,596
32,579,115,595
296,306,427,324
789,104,888,121
312,105,411,121
510,489,691,503
789,145,888,161
510,559,592,574
312,145,411,161
32,560,98,574
32,489,213,503
279,451,444,466
312,160,394,173
542,474,674,490
756,451,921,465
789,159,872,173
542,325,658,338
65,325,180,338
526,306,674,324
806,356,872,367
329,356,394,367
296,474,427,488
740,578,839,595
263,578,361,595
49,306,197,324
773,224,904,241
773,475,904,488
263,560,345,576
49,476,197,489
32,550,115,563
740,488,921,502
510,550,592,563
740,561,822,576
82,56,164,70
296,224,427,241
542,105,641,119
773,324,904,338
82,202,164,220
559,56,641,70
263,488,444,503
542,145,641,159
559,203,641,220
510,451,674,465
542,68,641,84
16,279,937,306
65,105,164,118
559,422,625,437
296,324,427,338
32,451,197,465
559,356,641,367
82,356,164,367
65,144,164,159
82,423,164,437
542,160,641,174
789,56,872,69
740,550,822,564
263,549,345,563
312,57,411,70
312,203,394,220
526,224,658,241
789,203,872,220
65,160,164,173
49,224,180,241
296,68,411,84
789,422,872,436
773,67,888,84
756,306,904,324
312,422,394,437
