180,388,283,411
180,240,335,252
387,371,516,388
593,680,774,694
180,149,387,180
387,461,671,480
180,330,361,354
516,357,671,377
748,252,851,279
180,1066,309,1082
258,794,800,811
180,528,283,548
180,1040,258,1052
593,701,722,714
258,895,567,911
542,343,593,361
309,263,387,278
258,671,464,698
645,921,774,935
645,880,722,896
180,1017,283,1032
180,923,593,946
180,107,748,150
258,698,413,711
309,739,748,758
180,75,309,90
309,1106,413,1119
361,331,542,351
619,831,748,846
464,254,671,287
180,223,283,236
645,994,696,1009
180,476,361,500
361,415,696,440
361,397,696,414
361,443,696,462
206,1173,361,1347
619,868,826,884
