25,106,295,131
321,89,565,105
655,260,693,273
25,132,269,157
321,163,513,179
321,252,462,272
321,244,398,258
321,60,565,75
321,227,423,247
321,106,436,119
321,74,385,88
244,30,295,62
321,191,411,201
552,272,629,287
321,148,565,163
321,202,475,214
321,121,603,135
25,237,102,255
25,159,205,178
321,213,488,227
205,239,282,255
321,30,462,43
321,275,385,287
321,46,565,58
334,132,398,144
423,133,539,150
38,218,89,239
205,224,295,240
398,136,423,148
244,65,295,87
12,65,205,102
205,192,295,206
