230,261,250,272
60,50,290,61
210,352,280,363
200,448,270,458
60,130,300,139
220,82,270,93
60,38,110,48
60,187,170,201
60,309,300,318
60,227,180,237
60,503,300,511
60,136,180,147
60,317,180,327
60,491,300,501
190,267,300,279
60,221,130,230
60,399,300,408
60,407,180,418
60,370,290,379
60,278,180,291
180,38,260,48
60,462,180,471
170,217,300,229
60,198,270,212
60,510,110,519
60,360,300,371
60,272,180,281
100,352,140,361
60,100,290,109
60,121,300,130
180,141,300,150
180,323,290,331
60,27,110,36
180,411,300,420
180,232,300,240
180,26,300,35
100,172,130,181
60,212,260,221
190,457,290,467
100,261,140,271
60,302,270,311
200,190,280,199
190,509,290,517
60,382,280,391
200,173,280,181
60,112,290,122
60,481,290,491
60,390,300,400
60,471,280,481
60,63,150,72
60,291,290,302
190,278,290,286
60,90,300,101
90,452,140,461
180,63,280,73
100,82,130,91
110,182,300,192
60,238,100,245
