99,663,322,697
99,916,297,944
372,663,595,698
99,1032,297,1064
372,913,595,945
99,304,223,323
99,415,297,440
99,779,620,797
99,797,297,823
99,1321,223,1341
372,150,570,177
99,500,570,522
99,282,620,301
99,531,570,550
99,742,372,771
99,1299,595,1317
99,719,248,748
99,152,297,176
99,1059,223,1081
99,1020,248,1037
99,1000,570,1019
99,1170,297,1193
372,721,520,747
372,305,496,324
99,467,223,490
99,977,248,997
99,553,223,572
372,744,570,771
372,469,496,489
99,1262,297,1282
99,245,372,270
372,414,570,440
99,817,173,835
372,1322,496,1342
372,1168,595,1194
99,1234,248,1266
99,217,248,248
99,1421,297,1441
372,216,520,246
372,977,520,996
372,1263,570,1282
372,246,570,265
372,1233,520,1264
99,569,148,587
99,608,148,626
99,321,148,340
99,1338,148,1357
99,857,148,874
372,608,421,624
372,358,421,375
322,1032,570,1066
372,818,446,836
372,857,421,872
372,1378,421,1397
322,1020,570,1041
421,1202,520,1220
322,802,496,821
372,567,421,587
396,449,520,467
396,706,520,726
124,452,248,469
124,950,223,975
124,706,223,726
322,553,496,573
297,502,570,523
124,1200,223,1222
