280,83,415,110
81,169,162,179
280,69,388,80
334,46,424,58
36,280,117,288
36,223,198,233
63,108,180,120
289,159,379,171
36,241,198,254
72,187,180,197
36,287,90,294
72,119,171,130
280,118,388,129
307,313,370,323
36,211,180,219
153,255,189,265
36,270,126,283
289,169,379,179
36,41,207,57
307,324,370,334
36,262,108,273
244,280,334,288
244,287,307,295
244,223,415,232
36,232,144,243
244,270,334,283
36,255,99,263
244,240,415,255
424,149,461,174
424,99,461,157
244,262,325,273
117,51,153,58
63,85,198,109
244,232,352,242
99,140,144,153
244,256,307,264
216,201,235,229
63,69,180,80
207,99,244,156
244,201,397,209
244,211,397,219
280,186,388,197
244,42,307,49
298,182,325,190
207,149,244,176
361,249,424,263
27,201,180,209
298,20,361,30
144,277,189,289
271,107,388,120
72,159,162,170
298,11,361,20
307,139,352,153
108,44,207,58
