319,822,638,857
744,489,886,513
779,463,886,486
354,1803,531,1832
957,1815,1028,1829
850,158,957,181
779,811,921,830
354,862,531,888
425,988,496,1004
744,917,957,943
815,1801,957,1818
389,1753,496,1779
779,307,850,327
744,1628,1063,1658
283,1070,354,1085
389,1447,496,1471
779,1137,886,1172
283,974,496,995
744,600,886,628
283,1091,460,1112
744,721,921,745
354,2028,531,2046
708,1285,850,1316
708,876,992,916
673,694,921,715
283,742,602,762
779,976,886,999
283,1289,460,1316
283,729,460,745
815,1659,992,1678
212,1834,602,1884
354,1943,496,1966
354,1786,496,1809
708,739,957,768
319,2004,531,2021
673,519,921,555
