56,326,208,348
56,298,208,326
113,152,246,171
360,327,569,348
417,452,569,468
246,342,398,358
246,537,360,554
417,299,569,326
246,362,778,381
246,489,379,503
56,257,721,273
246,381,360,397
246,319,360,335
246,269,379,288
246,472,398,487
607,336,721,355
246,413,398,427
417,541,531,552
417,395,588,413
607,301,740,315
607,271,778,290
246,510,360,527
607,406,778,420
702,386,778,402
113,195,246,212
607,287,740,302
246,291,379,304
246,438,284,450
113,180,227,194
246,460,398,474
417,437,512,454
37,210,246,231
37,355,208,379
37,438,113,455
398,425,569,442
37,540,151,552
37,394,208,413
37,452,189,467
37,425,208,441
