320,230,422,248
25,106,294,131
320,149,563,165
320,89,563,105
320,59,563,75
320,253,461,271
25,132,269,157
205,238,269,255
320,201,474,214
653,253,692,266
320,164,512,179
320,74,384,87
320,190,410,201
320,106,435,118
25,236,102,255
551,272,627,286
320,213,487,226
25,159,205,178
320,136,551,149
320,244,410,259
320,273,384,286
320,30,461,43
320,45,563,58
320,121,602,139
205,224,294,239
243,68,294,88
230,30,294,64
38,219,89,239
205,191,294,207
576,164,602,202
12,65,205,102
