359,626,539,658
359,841,838,870
568,406,1108,461
359,561,479,592
1257,848,1347,874
1167,562,1347,591
688,460,1108,536
568,968,1137,989
568,1056,928,1083
449,215,568,240
419,134,658,160
1227,630,1347,660
568,944,1137,963
568,991,1137,1019
568,1012,898,1041
209,776,269,862
808,151,1167,173
359,382,449,403
568,775,1197,830
868,192,1167,212
568,684,1018,776
359,112,419,126
119,639,239,669
928,636,1137,688
958,239,1167,314
958,232,1048,261
598,531,778,582
419,155,598,232
838,380,1347,403
