329,1179,494,1218
494,673,659,694
296,751,560,790
131,1382,197,1400
329,1770,659,1791
428,1464,560,1477
560,1784,659,1798
164,1825,428,1844
395,1470,626,1491
32,1756,461,1770
263,703,395,726
461,542,725,565
461,405,725,420
461,510,725,530
32,433,131,453
527,1662,725,1687
65,1807,131,1820
32,1789,494,1804
0,602,395,635
0,672,164,692
461,436,725,451
527,1692,725,1712
461,371,725,387
0,630,263,651
461,702,659,716
395,1557,494,1574
494,1495,725,1526
461,307,626,329
164,1838,395,1862
593,1183,692,1200
362,1037,527,1057
164,1525,296,1540
494,1567,692,1590
461,564,725,590
461,339,626,354
32,1383,197,1404
0,545,197,574
164,1494,296,1509
329,1111,527,1151
395,1215,494,1233
32,494,230,516
527,1712,659,1730
98,1683,296,1712
296,1161,494,1187
362,1491,494,1508
164,1937,329,1952
0,462,197,502
32,1430,329,1457
362,1521,725,1540
164,1067,494,1096
