197,162,416,183
457,297,530,314
197,137,416,162
197,99,364,134
197,77,332,93
197,297,374,314
457,281,603,297
20,35,114,154
208,34,436,50
197,269,301,287
457,268,582,283
468,77,561,111
208,20,436,35
135,16,156,43
0,164,72,196
509,45,540,90
457,154,561,188
260,196,332,260
0,114,20,145
613,246,644,256
488,125,551,154
124,96,176,165
343,227,395,259
353,268,426,296
468,25,488,33
0,194,62,205
457,25,509,89
457,99,561,138
457,233,561,254
83,207,176,255
457,201,561,239
457,180,551,207
228,51,416,65
