39,195,171,209
264,367,423,381
383,93,449,105
158,401,410,412
317,663,423,678
26,320,66,379
198,347,410,357
26,142,462,159
26,82,317,118
92,287,357,304
383,129,462,143
132,535,198,546
383,119,462,130
264,423,423,439
26,171,304,184
119,565,423,577
92,254,343,286
383,108,449,120
0,323,26,374
26,162,264,174
251,535,396,545
79,5,132,17
26,120,317,139
449,221,476,231
224,388,423,399
304,6,396,17
0,235,119,243
105,578,423,592
66,27,211,39
198,376,251,386
423,173,489,234
66,17,185,29
264,409,423,420
39,325,66,335
132,600,423,619
26,185,330,201
132,621,423,657
370,168,489,188
277,355,410,365
26,213,251,227
