193,205,247,219
279,212,366,223
279,82,452,94
463,233,527,246
279,202,366,215
279,110,344,121
32,119,161,137
279,69,441,79
549,219,581,229
344,186,409,197
279,122,463,136
21,147,193,161
21,160,161,174
193,153,247,178
32,187,86,204
21,70,236,93
269,147,398,160
183,192,355,207
21,175,150,186
21,27,139,41
21,46,172,68
269,40,484,51
21,94,129,113
269,95,484,109
269,234,333,248
269,52,484,65
269,185,323,196
269,28,452,40
269,134,463,147
269,221,398,235
21,204,86,219
269,175,398,186
269,165,366,175
