259,208,429,218
259,218,451,232
417,243,677,260
497,86,689,100
417,211,621,222
259,178,655,196
497,168,632,182
248,64,463,86
553,59,643,70
248,114,463,138
643,64,689,74
248,244,316,262
497,221,621,235
90,39,158,54
248,91,564,112
79,12,395,28
497,48,643,59
497,75,677,86
248,139,384,161
497,113,689,127
497,9,643,24
101,129,158,153
248,38,417,61
497,153,700,166
463,132,485,156
497,23,677,36
497,128,564,139
508,195,598,206
497,36,655,48
79,26,225,39
497,65,553,77
497,142,689,154
0,25,45,38
327,170,474,185
