549,241,602,253
549,304,629,320
549,271,803,285
174,297,308,312
174,284,281,297
549,250,763,269
549,85,790,114
549,149,736,176
549,196,723,223
174,22,294,34
549,17,696,35
549,325,642,340
441,316,522,329
174,37,254,49
174,65,522,76
174,49,334,63
160,267,294,283
334,49,522,62
549,285,656,299
629,244,803,258
723,311,816,324
174,316,214,330
174,95,254,112
147,85,508,97
160,132,388,150
174,193,508,206
160,172,522,188
174,245,361,261
174,153,348,167
147,228,522,243
160,117,790,146
147,210,321,222
