143,121,287,129
143,228,235,239
143,133,222,142
143,205,182,216
143,148,248,155
209,418,339,425
143,103,339,116
222,126,274,136
143,94,339,104
209,14,287,25
143,84,248,91
143,62,248,72
143,306,261,314
392,382,444,439
235,310,274,317
26,45,117,140
261,461,352,474
182,417,339,426
143,234,274,251
143,50,248,61
378,94,418,155
143,376,209,383
130,277,248,284
209,571,274,578
130,160,261,169
52,392,117,435
300,409,352,418
169,432,313,445
156,254,313,266
130,287,313,298
130,180,182,191
209,448,352,463
