623,193,845,211
623,65,789,83
304,81,554,106
623,140,789,156
623,120,762,136
623,211,734,225
623,87,831,101
498,273,609,296
623,20,803,32
304,226,484,243
110,331,277,349
623,176,734,188
623,50,720,63
623,33,803,46
623,227,720,240
775,258,831,273
623,158,789,176
152,319,235,335
304,122,484,165
665,293,734,309
290,249,595,280
124,70,235,86
623,101,748,115
290,243,484,262
152,58,249,74
290,277,360,295
290,202,443,219
290,315,401,340
152,44,249,58
290,16,457,33
124,87,221,105
290,35,554,83
138,23,263,42
180,209,235,248
290,183,498,202
651,320,734,337
