208,308,290,319
208,296,272,308
208,183,290,193
81,179,154,189
81,321,136,328
72,240,190,258
81,206,136,219
208,56,262,67
81,57,136,65
208,329,253,344
208,191,272,203
208,66,253,82
199,242,262,253
199,368,262,378
199,105,262,113
199,97,262,105
81,344,136,358
45,105,190,117
9,177,54,249
72,358,136,369
72,219,136,229
63,116,136,129
190,233,262,246
72,94,136,106
9,318,54,380
154,372,190,399
181,171,281,184
72,46,154,56
145,239,190,258
72,310,190,319
181,43,290,56
181,205,262,219
181,32,272,44
72,170,154,180
63,381,136,393
45,229,136,242
27,368,136,380
181,360,262,369
199,319,262,331
