311,133,573,159
299,206,598,226
49,272,74,287
311,101,560,134
124,161,261,177
722,240,760,289
124,120,211,136
299,224,610,242
124,194,261,211
124,86,224,103
124,214,174,229
411,168,498,194
124,70,261,87
137,275,261,294
311,245,373,267
124,142,274,162
124,51,261,69
623,70,760,86
735,216,760,240
336,75,423,95
149,244,249,262
623,268,648,291
623,168,735,186
623,118,735,136
623,138,722,153
137,262,261,278
124,102,224,120
124,178,274,196
311,265,411,286
623,53,760,71
623,85,760,102
623,155,735,171
623,223,648,262
623,103,735,121
37,62,74,79
386,50,511,70
486,280,585,302
