120,445,720,466
90,1160,360,1200
0,451,120,470
480,1491,810,1519
509,1286,690,1306
300,232,690,264
630,1419,840,1449
540,337,750,370
120,337,330,370
60,1357,450,1378
60,1319,630,1353
60,1369,420,1406
60,915,150,936
0,234,210,259
690,245,810,264
150,1014,480,1034
509,1373,600,1429
450,323,540,377
60,1305,509,1324
600,1387,810,1422
0,265,150,285
780,1582,869,1603
60,1585,300,1603
120,1092,330,1121
720,523,810,550
420,262,540,283
270,1255,480,1276
0,542,420,562
150,396,330,429
60,1258,210,1275
570,396,750,428
330,1216,480,1241
360,1576,480,1604
540,365,780,399
120,366,330,398
509,297,810,337
120,1059,300,1090
570,1350,869,1388
120,1128,360,1157
630,1447,810,1479
90,298,390,336
0,320,120,375
720,1297,869,1317
