200,417,280,426
293,481,347,489
200,730,227,739
267,542,347,552
227,549,347,560
173,475,293,485
280,519,347,535
173,419,200,427
293,473,347,479
280,416,347,423
173,431,347,438
307,409,334,415
173,453,334,468
187,177,280,189
146,327,187,337
374,539,400,567
253,725,320,736
200,533,267,546
146,749,227,761
160,597,227,607
146,735,200,747
173,490,347,501
307,597,347,606
280,327,320,339
240,419,280,427
146,724,200,736
66,539,93,566
200,796,267,806
146,643,227,657
13,423,146,502
146,665,307,678
120,562,347,574
146,685,253,695
146,612,227,630
146,627,280,644
133,91,320,127
