167,309,200,317
159,290,226,302
167,236,284,250
159,298,267,311
25,407,142,421
159,281,209,290
50,79,125,93
75,148,100,159
41,57,125,70
159,316,184,324
25,68,142,82
16,451,75,462
66,437,100,447
108,498,200,506
41,386,117,396
16,114,75,123
16,130,133,143
75,487,100,497
50,419,117,432
16,467,133,478
16,124,75,133
133,437,159,471
8,164,133,172
16,149,50,158
41,395,125,406
200,265,242,278
16,487,50,495
41,48,125,58
16,475,100,486
16,140,92,149
184,246,259,261
175,224,267,236
58,98,108,111
209,315,242,326
16,461,75,471
