456,494,609,521
282,434,413,453
282,409,478,427
130,221,217,239
282,372,413,392
696,632,805,648
478,412,544,430
478,790,587,809
522,365,631,381
456,526,609,552
500,404,544,417
282,394,326,407
282,332,413,345
282,355,413,369
108,254,239,272
87,492,239,521
152,55,261,79
696,620,761,635
108,148,261,166
108,238,239,256
326,255,391,272
130,204,217,224
152,122,261,137
456,471,587,493
282,318,413,333
87,589,174,608
261,636,522,656
87,525,239,554
261,517,391,534
87,470,217,494
456,738,609,760
456,712,522,727
456,446,587,466
87,401,174,415
87,576,587,593
261,611,435,630
130,49,261,77
261,593,674,617
87,641,152,657
478,811,565,830
456,761,609,781
261,465,413,482
261,544,391,559
108,135,261,151
87,415,174,429
87,447,239,469
