842,219,1162,244
380,125,581,162
380,66,621,122
380,286,661,307
380,239,481,270
380,22,621,56
20,366,260,387
842,194,1142,221
20,253,300,276
380,362,501,393
20,74,180,95
20,338,180,365
701,117,741,181
20,164,240,185
20,275,180,298
20,114,220,141
20,142,340,166
20,53,320,73
380,186,501,225
701,198,741,258
20,186,340,208
20,314,160,338
20,387,320,408
380,304,741,337
40,207,200,226
200,209,300,233
20,33,320,54
902,76,1082,99
501,398,701,434
0,235,280,254
0,413,220,434
0,296,220,322
922,242,1042,266
0,95,300,123
